ticker,date,pos,neg,unc,ceo_ratio,analyst_ratio,net_sentiment,sector,Adj Close,returns_market,rolling_corr_net_sent,recommendation_mean
CHTR,2011-04-28 17:21:29,0.0298,0.0099,0.0121,0.1538461538461538,0.0769230769230769,0.0199,Communication Services,58.63999938964844,0.04490378663089967,0.5357512763717622,3.0
CHTR,2011-07-28 16:31:15,0.0299,0.01,0.0089,0.1428571428571428,0.0,0.0199,Communication Services,54.7400016784668,-0.045509971492537105,0.5283809720825867,3.0
CHTR,2011-08-02 19:37:27,0.0475,0.0113,0.0158,0.0714285714285714,0.1428571428571428,0.0362,Communication Services,50.9900016784668,-0.04298042705135918,-0.4815159446309633,3.0
CHTR,2011-10-27 17:41:27,0.0378,0.0122,0.0122,0.2307692307692307,0.6923076923076923,0.025599999999999998,Communication Services,49.58000183105469,-0.012743914259098044,-0.4780266808229325,3.0
CHTR,2011-11-01 17:43:01,0.0595,0.0131,0.0155,0.1333333333333333,0.1333333333333333,0.0464,Communication Services,46.849998474121094,0.019808443069544435,0.6858083981260696,3.0
CHTR,2012-01-26 18:41:09,0.0403,0.0101,0.0067,0.2142857142857142,0.7142857142857143,0.030200000000000005,Communication Services,58.4900016784668,0.013515900300958616,0.2853313483522935,3.0
CHTR,2012-02-27 20:35:07,0.0403,0.012,0.0218,0.1176470588235294,0.1176470588235294,0.028300000000000002,Communication Services,63.56999969482422,0.0022071478633907127,0.7964081630273115,3.0
CHTR,2012-04-26 17:01:07,0.046,0.0104,0.0092,0.2727272727272727,0.6363636363636364,0.0356,Communication Services,60.95000076293945,0.005277910097093885,0.7404149140091277,3.0
CHTR,2012-05-08 19:11:12,0.0387,0.011,0.0166,0.2,0.6666666666666666,0.0277,Communication Services,64.97000122070312,0.05095440862874412,-0.49915497316855534,3.0
CHTR,2012-08-02 16:21:09,0.0368,0.0161,0.0092,0.25,0.6666666666666666,0.0207,Communication Services,78.30000305175781,-0.0005105091652074512,0.05573570823136478,3.0
CHTR,2012-08-07 22:01:04,0.0323,0.0097,0.0151,0.125,0.8125,0.022600000000000002,Communication Services,76.68000030517578,-0.011728264926730625,0.2748126512683719,3.0
CHTR,2012-11-05 17:21:07,0.0381,0.0131,0.006,0.1578947368421052,0.7894736842105263,0.025,Communication Services,72.94000244140625,-0.028761598889501472,0.5699490125116837,3.0
CHTR,2012-11-06 18:41:14,0.0304,0.0152,0.0105,0.1333333333333333,0.8,0.0152,Communication Services,71.62000274658203,-0.018097061292047467,-0.24379515596653012,3.0
CHTR,2013-01-31 18:21:26,0.0426,0.013,0.0047,0.2142857142857142,0.7142857142857143,0.0296,Communication Services,77.97000122070312,-0.04483641009263406,-0.755297775019045,3.0
CHTR,2013-02-22 18:41:19,0.0281,0.0129,0.0129,0.1428571428571428,0.7857142857142857,0.0152,Communication Services,85.0199966430664,0.10372579501996548,-0.6774440451401743,3.0
CHTR,2013-02-26 23:02:23,0.048,0.0082,0.0082,0.6666666666666666,0.3333333333333333,0.0398,Communication Services,86.73999786376953,0.04129645481374489,-0.1806266901737222,3.0
